path,wind,N_offset_T,A_in,A_out,OUT_IN,step,N_length_T
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,15,15.187542263013093,6.8561484782146165,0.4514323884327028,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,16,15.15530863158254,6.861635661128223,0.45275459760872716,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,17,15.096590000339468,6.853695591509595,0.4539896487455432,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,18,15.134039394634625,6.826661230223716,0.4510799167500469,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,19,15.128389531548779,6.868797229517206,0.45403360451507413,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,20,15.149020954854306,6.883647404528365,0.45439552991855825,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,21,15.188003183472636,6.921684330745757,0.4557336634138866,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,22,15.178778185283786,6.994703242277824,0.46082123059544855,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,23,15.22151424911915,7.015346784492925,0.4608836328421724,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,24,15.226794902810472,7.007679554592319,0.46022026298514623,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,25,15.184868371384821,7.057456567280359,0.46476903155642807,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,26,15.20179629441657,7.050198243247651,0.46377402424719383,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,27,15.175052258576827,7.116835602272861,0.4689826091538155,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,28,15.191557673648653,7.120480862978651,0.46871301916128527,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,29,15.21289152402487,7.044729892839421,0.4630763245576341,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,no,30,15.20083855089585,7.080646198129137,0.46580628920052863,1,
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,full,10,14.926426433642536,10.889133610952465,0.7295204689053735,2,5.0
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,full,10,14.929407539323401,10.774985021690695,0.7217289094232212,2,6.0
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,full,10,14.77350273506007,10.777713487395909,0.7295300025104091,2,7.0
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,full,10,14.764256881321248,10.774702190459085,0.7297828991373428,2,8.0
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,full,10,14.734000988236934,10.805724762339937,0.7333869986140775,2,9.0
