category,freq,amp,Kt_source,n_full,n_no,Kt_mean_full,Kt_mean_no,Kt_std_full,Kt_std_no,dKt_mean,dKt_ci_lo,dKt_ci_hi,welch_p,verdict
canon_loose230,1.3,0.1,FFT,9,16,0.7896521966335137,0.6550172440539184,0.049068652465339625,0.028990230863733545,0.13466885379961574,0.10237767004809828,0.16845572101357584,1.0366433387954817e-05,enhance
canon_loose230,1.3,0.1,eff,9,16,0.7896521966335137,0.6550172440539184,0.049068652465339625,0.028990230863733545,0.13467653957548745,0.10275756063507302,0.1681183292988105,1.0366433387954817e-05,enhance
canon_loose230,1.3,0.2,FFT,4,5,0.8458346747645029,0.8000283106637316,0.030300414979142556,0.017653882333904244,0.04558945166958773,0.016297842644580035,0.07371188434712911,0.0477017891988762,enhance
canon_loose230,1.3,0.2,eff,4,5,0.8458346747645029,0.8000283106637316,0.030300414979142556,0.017653882333904244,0.0457338469671734,0.01599371972314167,0.07454088314564311,0.0477017891988762,enhance
canon_loose230,1.3,0.3,FFT,3,3,0.798745564299712,0.8000433746858736,0.03527548773437249,0.006734592876773624,-0.0011955361362593461,-0.0409602462705124,0.023481791983400058,0.9554381828639151,null
canon_loose230,1.3,0.3,eff,3,3,0.798745564299712,0.8000433746858736,0.03527548773437249,0.006734592876773624,-0.0015007682924549392,-0.040932839834283974,0.023481791983400058,0.9554381828639151,null
canon_loose230,1.4,0.1,FFT,4,5,0.7265894872304342,0.541045547523781,0.05792002526405962,0.041200318974541766,0.18550873335483214,0.13255521269734882,0.2469671961688399,0.002487571370592899,enhance
canon_loose230,1.4,0.1,eff,4,5,0.7265894872304342,0.541045547523781,0.05792002526405962,0.041200318974541766,0.1854148374676216,0.13228247926747372,0.24873625621161127,0.002487571370592899,enhance
canon_loose230,1.4,0.2,FFT,6,6,0.7659876784519613,0.7152906433827764,0.03553841560123233,0.02506974477021238,0.050502152378889484,0.02056888876175588,0.08390159290105013,0.018947261183251744,enhance
canon_loose230,1.4,0.2,eff,6,6,0.7659876784519613,0.7152906433827764,0.03553841560123233,0.02506974477021238,0.0506689858972994,0.020480909436831337,0.08357358815344561,0.018947261183251744,enhance
canon_loose230,1.4,0.3,FFT,2,3,0.7625399976812641,0.7284436882274926,0.007805210937606871,0.02522398523619457,0.034280928957936455,0.009667518879599712,0.060046609316392385,0.13358312707110265,enhance
