path,folder,name,probe,freq_hz,amp_V,panel,N_samples,df_bin,A_nearest_bin,f_nearest_bin,A_parabolic,f_parabolic,A_goertzel,f_goertzel,A_ls_fit,f_ls_fit
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run3.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run3.csv,9373/170,1.60000,0.30000,full,1561,0.16015,21501.68559,1.60154,21501.73371,1.60178,21524.74170,1.60000,21516.77569,1.60000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run3.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run3.csv,9373/340,1.60000,0.30000,full,1561,0.16015,20827.62397,1.60154,20827.67413,1.60179,20857.18210,1.60000,20846.51101,1.60000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run3.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run3.csv,12400/250,1.60000,0.30000,full,1561,0.16015,10936.10135,1.60154,10936.57749,1.60261,10948.12791,1.60000,10942.32996,1.60000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run3.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0300-freq1600-per40-depth580-mstop30-run3.csv,8804/250,1.60000,0.30000,full,1561,0.16015,20446.38771,1.60154,20447.06366,1.60060,20472.86615,1.60000,20453.14509,1.60000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,9373/170,1.50000,0.10000,full,1671,0.14961,8108.00057,1.49611,8108.20031,1.49686,8108.42175,1.50000,8111.35433,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,9373/340,1.50000,0.10000,full,1671,0.14961,7621.97455,1.49611,7622.06113,1.49662,7626.33707,1.50000,7626.90808,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,12400/250,1.50000,0.10000,full,1671,0.14961,3544.39589,1.49611,3544.42324,1.49569,3540.84808,1.50000,3549.24417,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,8804/250,1.50000,0.10000,full,1671,0.14961,8237.42609,1.49611,8237.43775,1.49629,8255.09181,1.50000,8242.14524,1.50000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run4.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run4.csv,9373/170,1.30000,0.10000,full,1921,0.13014,7306.01389,1.30141,7306.01998,1.30129,7307.61648,1.30000,7299.75542,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run4.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run4.csv,9373/340,1.30000,0.10000,full,1921,0.13014,7184.49108,1.30141,7184.50412,1.30123,7185.92279,1.30000,7178.12728,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run4.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run4.csv,12400/250,1.30000,0.10000,full,1921,0.13014,5025.36155,1.30141,5025.36443,1.30150,5023.38252,1.30000,5027.38331,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run4.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run4.csv,8804/250,1.30000,0.10000,full,1921,0.13014,7831.03288,1.30141,7831.03933,1.30129,7832.42959,1.30000,7830.56266,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,9373/170,1.40000,0.10000,full,1791,0.13959,7981.22267,1.39587,7981.29758,1.39543,7982.65748,1.40000,8005.85501,1.40000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,9373/340,1.40000,0.10000,full,1791,0.13959,8003.80139,1.39587,8003.86050,1.39548,8003.52205,1.40000,8026.55440,1.40000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,12400/250,1.40000,0.10000,full,1791,0.13959,4606.23103,1.39587,4606.32947,1.39652,4619.67097,1.40000,4608.47276,1.40000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,8804/250,1.40000,0.10000,full,1791,0.13959,7149.92151,1.39587,7149.94525,1.39561,7172.26568,1.40000,7156.72183,1.40000
