freq,amp,wind,probe,win_len,expected_len,end_shift_samples,end_shift_T
1.3,0.3,full,9373/170,1932,1920,12,0.0625
1.3,0.3,full,9373/340,1929,1920,9,0.046875
1.3,0.3,full,12400/250,1925,1920,5,0.026041666666666668
1.3,0.3,full,8804/250,1927,1920,7,0.036458333333333336
1.5,0.3,full,9373/170,1674,1670,4,0.023952095808383235
1.5,0.3,full,9373/340,1675,1670,5,0.029940119760479042
1.5,0.3,full,12400/250,1670,1670,0,0.0
1.5,0.3,full,8804/250,1673,1670,3,0.017964071856287425
1.6,0.2,full,9373/170,1554,1560,-6,-0.038461538461538464
1.6,0.2,full,9373/340,1574,1560,14,0.08974358974358974
1.6,0.2,full,12400/250,1569,1560,9,0.057692307692307696
1.6,0.2,full,8804/250,1569,1560,9,0.057692307692307696
1.4,0.3,full,9373/170,1792,1790,2,0.0111731843575419
1.4,0.3,full,9373/340,1784,1790,-6,-0.0335195530726257
1.4,0.3,full,12400/250,1789,1790,-1,-0.00558659217877095
1.4,0.3,full,8804/250,1794,1790,4,0.0223463687150838
1.6,0.1,no,9373/170,1560,1560,0,0.0
1.6,0.1,no,9373/340,1559,1560,-1,-0.00641025641025641
1.6,0.1,no,12400/250,1560,1560,0,0.0
1.6,0.1,no,8804/250,1561,1560,1,0.00641025641025641
1.6,0.2,no,9373/170,1560,1560,0,0.0
1.6,0.2,no,9373/340,1563,1560,3,0.019230769230769232
1.6,0.2,no,12400/250,1559,1560,-1,-0.00641025641025641
1.6,0.2,no,8804/250,1572,1560,12,0.07692307692307693
1.3,0.1,no,9373/170,1922,1920,2,0.010416666666666666
1.3,0.1,no,9373/340,1922,1920,2,0.010416666666666666
1.3,0.1,no,12400/250,1918,1920,-2,-0.010416666666666666
1.3,0.1,no,8804/250,1920,1920,0,0.0
1.4,0.1,no,9373/170,1787,1790,-3,-0.01675977653631285
1.4,0.1,no,9373/340,1785,1790,-5,-0.027932960893854747
1.4,0.1,no,12400/250,1786,1790,-4,-0.0223463687150838
1.4,0.1,no,8804/250,1785,1790,-5,-0.027932960893854747
1.4,0.1,full,9373/170,1790,1790,0,0.0
1.4,0.1,full,9373/340,1790,1790,0,0.0
1.4,0.1,full,12400/250,1788,1790,-2,-0.0111731843575419
1.4,0.1,full,8804/250,1790,1790,0,0.0
1.4,0.1,full,9373/170,1790,1790,0,0.0
1.4,0.1,full,9373/340,1790,1790,0,0.0
1.4,0.1,full,12400/250,1787,1790,-3,-0.01675977653631285
1.4,0.1,full,8804/250,1793,1790,3,0.01675977653631285
1.3,0.1,full,9373/170,1920,1920,0,0.0
1.3,0.1,full,9373/340,1913,1920,-7,-0.036458333333333336
1.3,0.1,full,12400/250,1938,1920,18,0.09375
1.3,0.1,full,8804/250,1920,1920,0,0.0
1.5,0.1,no,9373/170,1666,1670,-4,-0.023952095808383235
1.5,0.1,no,9373/340,1667,1670,-3,-0.017964071856287425
1.5,0.1,no,12400/250,1668,1670,-2,-0.011976047904191617
1.5,0.1,no,8804/250,1666,1670,-4,-0.023952095808383235
1.3,0.1,no,9373/170,1926,1920,6,0.03125
1.3,0.1,no,9373/340,1926,1920,6,0.03125
1.3,0.1,no,12400/250,1922,1920,2,0.010416666666666666
1.3,0.1,no,8804/250,1920,1920,0,0.0
1.5,0.1,full,9373/170,1670,1670,0,0.0
1.5,0.1,full,9373/340,1656,1670,-14,-0.08383233532934131
1.5,0.1,full,12400/250,1668,1670,-2,-0.011976047904191617
1.5,0.1,full,8804/250,1670,1670,0,0.0
1.3,0.1,no,9373/170,1925,1920,5,0.026041666666666668
1.3,0.1,no,9373/340,1924,1920,4,0.020833333333333332
1.3,0.1,no,12400/250,1924,1920,4,0.020833333333333332
1.3,0.1,no,8804/250,1921,1920,1,0.005208333333333333
1.6,0.1,no,9373/170,1560,1560,0,0.0
1.6,0.1,no,9373/340,1559,1560,-1,-0.00641025641025641
1.6,0.1,no,12400/250,1556,1560,-4,-0.02564102564102564
1.6,0.1,no,8804/250,1563,1560,3,0.019230769230769232
1.6,0.1,full,9373/170,1552,1560,-8,-0.05128205128205128
1.6,0.1,full,9373/340,1547,1560,-13,-0.08333333333333333
1.6,0.1,full,12400/250,1567,1560,7,0.04487179487179487
1.6,0.1,full,8804/250,1560,1560,0,0.0
1.7,0.1,no,9373/170,1468,1470,-2,-0.013605442176870748
1.7,0.1,no,9373/340,1466,1470,-4,-0.027210884353741496
1.7,0.1,no,12400/250,1459,1470,-11,-0.07482993197278912
1.7,0.1,no,8804/250,1464,1470,-6,-0.04081632653061224
1.7,0.1,full,9373/170,1468,1470,-2,-0.013605442176870748
1.7,0.1,full,9373/340,1486,1470,16,0.10884353741496598
1.7,0.1,full,12400/250,1474,1470,4,0.027210884353741496
1.7,0.1,full,8804/250,1470,1470,0,0.0
1.3,0.2,no,9373/170,1923,1920,3,0.015625
1.3,0.2,no,9373/340,1920,1920,0,0.0
1.3,0.2,no,12400/250,1925,1920,5,0.026041666666666668
1.3,0.2,no,8804/250,1925,1920,5,0.026041666666666668
1.4,0.1,no,9373/170,1787,1790,-3,-0.01675977653631285
1.4,0.1,no,9373/340,1786,1790,-4,-0.0223463687150838
1.4,0.1,no,12400/250,1784,1790,-6,-0.0335195530726257
1.4,0.1,no,8804/250,1784,1790,-6,-0.0335195530726257
1.5,0.1,no,9373/170,1666,1670,-4,-0.023952095808383235
1.5,0.1,no,9373/340,1667,1670,-3,-0.017964071856287425
1.5,0.1,no,12400/250,1667,1670,-3,-0.017964071856287425
