path,freq_r,amp_r,WindCondition,Mooring,A_in_mm,A_out_mm,OUT_IN,method,WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt]
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,1.6,0.3,full,below_90_loose,22.88547019974117,15.694446310038693,0.6857821217156461,long,1.6,0.3
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,1.3,0.1,no,below_90_loose,7.426450910865814,5.242458283700269,0.7059170452510372,long,1.3,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,1.5,0.1,full,below_90_loose,8.149299296831334,5.660569136406915,0.694608079814653,long,1.5,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop330-run3.csv,1.3,0.1,no,below_90_loose,6.920924514069267,5.176443042235629,0.747940976919001,long,1.3,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,1.4,0.2,no,below_90_loose,15.344720780683419,10.64754759457115,0.6938899538644413,long,1.4,0.2
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,1.3,0.1,no,below_90_loose,7.4759991601579525,5.168049151756381,0.6912854109586591,long,1.3,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,1.5,0.3,no,below_90_loose,21.24801382045763,13.125220387703056,0.6177151661613693,long,1.5,0.3
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop330-run1.csv,1.3,0.1,full,below_90_loose,7.603616629022521,5.861129110038543,0.7708343800063493,long,1.3,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,1.6,0.1,no,below_90_loose,7.174759201397061,2.750562841811751,0.38336657225738874,long,1.6,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,1.3,0.3,full,below_90_loose,22.780925305951463,18.60953406323864,0.8168910530766257,long,1.3,0.3
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,1.5,0.3,full,below_90_loose,22.946789321547975,16.972734452448222,0.739656176496558,long,1.5,0.3
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,1.6,0.1,full,below_90_loose,8.912327675130445,5.114279047438989,0.5738432465527739,long,1.6,0.1
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,1.3,0.3,no,below_90_loose,21.32029660697079,17.328087209440653,0.8127507571247925,long,1.3,0.3
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,1.4,0.3,no,below_90_loose,19.267886335727837,15.626483850135363,0.8110118348144739,long,1.4,0.3
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,1.6,0.2,full,below_90_loose,15.688928192087392,10.120362983995173,0.6450640133020248,long,1.6,0.2
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-fullwind-amp0300-freq1400-per240-depth580-mstop30-run1.csv,1.4,0.3,full,below_90_loose,22.917529115529554,17.285810807974517,0.7542615401876449,long,1.4,0.3
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,1.6,0.2,no,below_90_loose,15.148213672256986,7.136793213213802,0.4711310104031868,long,1.6,0.2
